IGNORE,gold_label,Premise,Hypothesis,pred_label,satisfactory_score,pred_expl,Expl_1,Expl_2,Expl_3,smallestMED
0,neutral,Two women are embracing while holding to go packages .,The sisters are hugging goodbye while holding to go packages after just eating lunch .,neutral,0, just because two women are embracing does n't mean they are sisters ; just because they are holding does n't mean they are eating lunch .,the to go packages may not be from lunch .,"just because two women are embracing , does not mean they are sisters ; two women that are embracing are not necessarily hugging goodbye .",two women do not have to be sisters ; embracing does not mean hugging goodbye ; the women do not have to have just finished lunch to be embracing .,78
1,entailment,Two women are embracing while holding to go packages .,Two woman are holding packages .,entailment,0, two women are holding packages is a rephrasing of two women are holding packages .,saying the two women are holding packages is a way to paraphrase that the packages they are holding are to go packages .,sentence 1 states that two women are holding to-go packages ; to-go packages are a form of package .,women can embrace while they are holding packages .,26
2,contradiction,Two women are embracing while holding to go packages .,The men are fighting outside a deli .,contradiction,1, women are not men .,in the first sentence there is an action of affection between women while on the second sentence there is a fight between men .,women are different than men and embracing is different than fighting .,first sentence features two women and the second has men .,22
3,entailment,"Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .",Two kids in numbered jerseys wash their hands .,entailment,0, the kids are young .,young children are kids ; jerseys with number 9 and 2 are numbered jerseys .,two young children in jersey washing their hands in sink,kids is a synonym for children .,35
4,neutral,"Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .",Two kids at a ballgame wash their hands .,entailment,0, kids are young,two kids in jerseys watching their hands are not necessarily at a ballgame .,even it two children are wearing jerseys they are not necessarily at a ballgame .,just because two children are in jerseys washing their hands in a sink it does not mean they are at a ballgame .,29
5,contradiction,"Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .",Two kids in jackets walk to school .,contradiction,0, kids are not young .,"if you 're wearing a jacket , you wo n't be able to see the blue jerseys ; when you 're standing in a bathroom , you can not be walking to school at the same time .",if children are standing on steps they ca n't be walking to,children can not walk to school and be standing at the same time .,23
6,contradiction,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A woman drinks her coffee in a small cafe .,contradiction,0, a man selling donuts is not a woman drinks .,"there can be either a man or a woman , who can be either selling donuts or drinking coffee .",a woman ca n't be at a world exhibition event and a small cafe at the same time .,a woman is different from a man .,32
7,neutral,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A man selling donuts to a customer during a world exhibition event while people wait in line behind him .,neutral,0, a man selling donuts to a customer during a world exhibition event held in the city of los does not imply that he waits in line behind him .,just because a customer buys donuts at a world exhibition event does n't mean people are waiting in line behind him .,the fact that one man is buying donuts at an event does not imply there is a line behind him .,just because a man is selling donuts at an event it does not mean people wait in line behind him .,40
8,entailment,A man selling donuts to a customer during a world exhibition event held in the city of Angeles,A man selling donuts to a customer .,entailment,0, selling is a form of selling .,a man selling donuts is selling donuts .,a man selling donuts is just a rephrasing of a man selling donuts at an event .,`` a man selling donuts to a customer '' is the same as `` a man selling donuts to a customer . '',23
10,contradiction,"Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .",dog eats out of bowl,contradiction,1, two young boys are not a dog .,boys are not dogs .,boys playing football can not be a dog eating out of a bowl .,two young boys playing football would not refer to a dog .,21
11,neutral,"Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .",boys scoring a touchdown,neutral,1, the boys are not necessarily scoring a touchdown .,boys can refer to more individuals than two young boys ; playing football does not imply they are scoring a touchdown .,the fact that two boys are playing football does not imply that any boys have scored a touchdown .,just because boys are playing football it does not mean they are scoring a touchdown .,22
12,neutral,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs .,A man is repainting a garage,neutral,1, a man standing in front of a structure does not imply he is renovating a garage .,"just because a man is standing in front of a structure that is painted with geometric designs , does n't mean he is repainting it ; a structure is n't necessarily a garage .",the fact that a man is standing in front of a painted garage does not imply that he is in currently in the process of repainting a garage .,just because a man is in front of a structure it does not mean he is repainting a garage .,54
13,entailment,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs .,A man is wearing a blue shirt,entailment,1, man in a blue shirt means man is wearing a blue shirt,`` in a blue shirt '' is inferred as `` wearing a blue shirt '' .,in a blue shirt is a paraphrasing of wearing a blue shirt .,`` in a blue shirt '' is a rephrasing of `` is wearing a blue shirt '',20
14,contradiction,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs .,A man is wearing a black shirt,contradiction,1, blue is not black .,blue is a different color than black .,a person can not be wearing a black shirt while in a blue shirt .,a man can not be wearing a blue shirt and a black shirt at the same time .,19
15,entailment,"Under a blue sky with white clouds , a child reaches up to touch the propeller of a plane standing parked on a field of grass .",A child is reaching to touch the propeller of a plane .,entailment,0, a child reaches up to touch the aircraft of a plane implies that the child is reaching to touch the aircraft of a plane .,there are both child reaching up to touch a propeller .,child is reaching to touch the propeller of a plane ' is a rephrasing of child reaches up to touch the propeller of a plane ' .,the action reaches up is the same as is reaching .,67
16,neutral,"Under a blue sky with white clouds , a child reaches up to touch the propeller of a plane standing parked on a field of grass .",A child is reaching to touch the propeller out of curiosity .,neutral,0, the child is not necessarily reaching to touch the engine .,we do n't know why the child is touching the ; it could be curiosity or any other emotion or reason .,"a child may touch a propeller for many reasons , it is not implied that he wants to touch it out of curiosity .",just because a child reaches to touch a propeller it does not mean it is out of curiosity .,44
17,contradiction,"Under a blue sky with white clouds , a child reaches up to touch the propeller of a plane standing parked on a field of grass .",A child is playing with a ball .,contradiction,1, a child can not be playing with a ball and reaching up to touch the engine of a plane at the same time .,a plane is not a ball .,while playing with a ball a child can not touch the propeller .,"the object the child plays with was originally a plane , which changes into a ball in the second story .",75
18,entailment,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach .,A woman is doing a cartwheel .,entailment,0, a woman is doing a cartwheel is the same as a woman is doing a cartwheel .,both woman are doing a cartwheel .,`` a woman is doing a cartwheel '' is the same as `` a woman is doing a cartwheel . '',`` doing a cartwheel '' is a shorter version of `` doing a cartwheel while wearing a bikini '' .,35
19,contradiction,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach .,A woman is fixing her home .,contradiction,1, a woman can not be doing a cartwheel while fixing her home .,"it is not to be in the process of fixing a home , while you are also doing a cartwheel .",woman ca n't be fixing her home if doing a cartwheel,a woman her home can not be in the sand .,35
20,contradiction,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach .,A woman is doing a cartwheel and falls on her head .,neutral,0, a cartwheel is not always a cartwheel and falls on her head .,a woman doing a cartwheel as opposed to a woman falling while doing a cartwheel .,a woman ca n't be doing a cartwheel and fall on her head .,wearing and falls,19
21,entailment,Two men on bicycles competing in a race .,People are riding bikes .,entailment,1, men are people .,two men can also be referred as people and on bicycles competing a race is synonymous of riding bikes .,"if the men are competing in a bicycle race , it stands to reason the men are riding bikes .",men are people .,17
22,neutral,Two men on bicycles competing in a race .,Men are riding bicycles on the street .,neutral,0, not all men on bicycles are riding bicycles .,you do not have to ride a bike on the street .,not all bicycle races are held on the street .,the men may not be riding in a street,23
23,contradiction,Two men on bicycles competing in a race .,A few people are catching fish .,contradiction,1, the people are either catching fish or competing in a race .,a few is more than two people ; one can not catch fish while racing bicycles .,one can not be on bicycles in a race and catching fish at the same time .,a few people can not be competing in a race and catching fish at the same time .,29
